beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.735294,182.565621,33554.049143,0.080105,-0.594880,0.000426,0.161215,0.002526,0.000051,0.000103,0.159725,0.001006,19.549546,0.210813,-0.000000,0.000001,0.302802,0.000985,70.716191,0.421812,0.117445,0.000740,-39.797709,0.278965,-76.846064,0.292867
0.694444,170.275093,29200.741433,0.054153,-0.582797,0.000305,0.143969,0.002251,0.000019,0.000175,0.164555,0.000608,20.791808,0.173735,-0.000000,0.000001,0.296028,0.001401,67.254575,0.677905,0.114274,0.000423,-41.116850,0.249290,-74.728252,0.451754
0.657895,159.430186,25610.720468,0.063501,-0.571617,0.000377,0.130086,0.004036,-0.000013,0.000102,0.168399,0.000793,21.760495,0.235657,0.000000,0.000001,0.290865,0.001912,65.034115,0.772256,0.110789,0.000521,-42.072337,0.300098,-73.527228,0.440465
0.625000,149.916853,22655.799357,0.074082,-0.561980,0.000463,0.120368,0.002752,0.000058,0.000142,0.172356,0.000508,22.741034,0.166983,-0.000000,0.000001,0.285175,0.001423,62.210580,0.719189,0.107722,0.000317,-42.980298,0.213541,-71.714171,0.510416
0.595238,141.380229,20157.134965,0.049670,-0.552808,0.000326,0.106965,0.003686,0.000018,0.000117,0.176342,0.001076,23.888462,0.343446,-0.000000,0.000001,0.282313,0.001907,60.893570,0.806775,0.104965,0.000641,-44.153519,0.402357,-70.895530,0.508415
0.568182,133.777214,18055.342546,0.038790,-0.544718,0.000267,0.098519,0.003907,0.000004,0.000107,0.178723,0.000704,24.478376,0.261324,-0.000000,0.000001,0.279133,0.001743,59.402962,0.640256,0.101547,0.000400,-44.653185,0.326668,-69.935598,0.341408
0.543478,126.899144,16253.224958,0.055079,-0.537088,0.000396,0.089570,0.002944,0.000041,0.000095,0.181646,0.000882,25.244583,0.214144,-0.000000,0.000001,0.276518,0.001046,58.381766,0.426084,0.098721,0.000480,-45.325220,0.274641,-69.376633,0.298899
0.520833,120.695378,14709.239786,0.038756,-0.530215,0.000291,0.082690,0.002509,-0.000062,0.000113,0.184548,0.001119,26.109648,0.304107,-0.000000,0.000001,0.274294,0.000961,57.249478,0.381548,0.096119,0.000583,-46.158233,0.308139,-68.571423,0.275076
0.500000,115.066552,13375.102534,0.035492,-0.523957,0.000277,0.077044,0.002417,-0.000051,0.000081,0.186855,0.000544,26.747824,0.224471,0.000000,0.000001,0.272566,0.001484,56.608775,0.552589,0.093427,0.000272,-46.715342,0.287700,-68.228001,0.357233
0.480769,109.887207,12203.488671,0.052809,-0.517834,0.000429,0.071877,0.002160,-0.000031,0.000145,0.189503,0.000693,27.517213,0.204249,0.000001,0.000001,0.270493,0.000870,55.608952,0.370758,0.091107,0.000333,-47.401955,0.208612,-67.527371,0.298367
0.462963,105.187582,11186.232814,0.037401,-0.512520,0.000316,0.064908,0.002219,-0.000031,0.000137,0.191445,0.000603,28.082782,0.192511,-0.000000,0.000001,0.269431,0.000812,55.219341,0.373954,0.088632,0.000279,-47.895799,0.233078,-67.315559,0.334581
